ora,flag
06:47:00,1
07:05:00,0
07:23:00,0
07:35:00,3
07:44:00,1
07:53:00,3
08:02:00,0
08:11:00,3
08:20:00,0
08:29:00,3
08:38:00,1
08:47:00,3
08:56:00,0
09:05:00,3
09:14:00,0
09:23:00,3
09:33:00,1
09:41:00,3
09:50:00,0
09:59:00,3
10:08:00,0
10:27:00,1
10:44:00,0
11:02:00,0
11:22:00,1
11:38:00,0
11:56:00,0
12:05:00,3
12:16:00,1
12:23:00,3
12:32:00,0
12:41:00,3
12:50:00,0
12:59:00,3
13:11:00,1
13:17:00,3
13:26:00,0
13:35:00,3
13:44:00,0
14:02:00,1
14:26:00,0
14:50:00,1
15:14:00,0
15:26:00,2
15:38:00,1
15:50:00,2
16:02:00,0
16:14:00,2
16:26:00,1
16:38:00,2
16:50:00,0
17:02:00,2
17:14:00,1
17:26:00,2
17:38:00,0
17:50:00,2
18:02:00,1
18:14:00,2
18:26:00,0
18:38:00,2
18:50:00,1
19:02:00,2
19:14:00,0
19:38:00,1
20:02:00,0
20:26:00,1
20:50:00,0
